#,term,topic,subtopic,n_words,n_patents,tfidf,score,variants,patents
11,onboard battery,Batteries,Cell & battery types,2,2,17.27,41.1,onboard battery,US20160211560A1-20160721 US20160211561A1-20160721
12,non-aqueous electrolyte rechargeable battery,Batteries,Cell & battery types,4,2,12.952,40.6,non-aqueous electrolyte rechargeable battery | nonaqueous electrolyte rechargeable battery,US20160164091A1-20160609 US20160164093A1-20160609
13,flow battery,Batteries,Cell & battery types,2,2,17.27,25.1,flow batteries,US20160211539A1-20160721 US20160301084A1-20161013
14,power battery,Batteries,Cell & battery types,2,2,25.905,16.6,power battery,US20170005377A1-20170105 US20160204397A1-20160714
15,secondary cell,Batteries,Cell & battery types,2,2,17.27,16.3,secondary cell,US20160181616A1-20160623 US20160164104A1-20160609
16,thin film battery,Batteries,Cell & battery types,3,2,8.635,13.5,thin film battery | thin-film battery,US20070009802A1-20070111 US20170062800A1-20170302
17,power storage device,Batteries,Cell & battery types,3,2,8.635,12.3,power storage device,US20160141719A1-20160519 US20160164053A1-20160609
18,lithium-ion rechargeable battery,Batteries,Cell & battery types,3,1,50.106,121.0,lithium-ion rechargeable battery,US20170092937A1-20170330
19,non-aqueous electricity storage element,Batteries,Cell & battery types,4,1,35.074,111.2,non-aqueous electricity storage element,US20160172678A1-20160616
20,electrochemical storage cell,Batteries,Cell & battery types,3,1,25.053,55.7,electrochemical storage cell,US20060078789A1-20060413
21,high power battery cell,Batteries,Cell & battery types,4,1,20.043,49.6,high power battery cells,US20170005377A1-20170105
22,solid state battery,Batteries,Cell & battery types,3,1,20.043,49.0,solid state battery,US20160248093A1-20160825
23,energy storage device,Batteries,Cell & battery types,3,1,20.043,39.6,energy storage devices | energy storage device,US20160226070A1-20160804
24,sodium molten salt battery,Batteries,Cell & battery types,4,1,10.021,34.8,sodium molten salt battery,US20160156069A1-20160602
25,laminate-sheathed cell,Batteries,Cell & battery types,2,1,15.032,31.6,laminate-sheathed cells,US20060040173A1-20060223
26,rechargeable battery cell,Batteries,Cell & battery types,3,1,15.032,30.6,rechargeable battery cell,US20160226044A1-20160804
27,lithium based electrochemical device,Batteries,Cell & battery types,4,1,10.021,29.1,lithium based electrochemical devices,US20060105244A1-20060518
28,lithium ion polymer battery,Batteries,Cell & battery types,4,1,10.021,27.9,lithium ion polymer battery,US20070231687A1-20071004
29,high energy battery cell,Batteries,Cell & battery types,4,1,10.021,26.4,high energy battery cells,US20170005377A1-20170105
30,alkaline electrochemical cell,Batteries,Cell & battery types,3,1,10.021,23.6,alkaline electrochemical cell,US20060068288A1-20060330
31,rechargeable electrochemical cell,Batteries,Cell & battery types,3,1,10.021,22.7,rechargeable electrochemical cells,US20160164075A1-20160609
32,lithium secondary cell,Batteries,Cell & battery types,3,1,10.021,21.7,lithium secondary cell,US20160181616A1-20160623
33,combination battery,Batteries,Cell & battery types,2,1,10.021,20.2,combination battery,US20060040173A1-20060223
34,reserve cell-array nanostructred battery,Batteries,Cell & battery types,4,1,5.011,20.1,reserve cell-array nanostructred battery,US20100183906A1-20100722
35,lithium thin film battery,Batteries,Cell & battery types,4,1,5.011,15.2,lithium thin film battery,US20070009802A1-20070111
36,electric power storage device,Batteries,Cell & battery types,4,1,5.011,15.1,electric power storage device,US20160164053A1-20160609
37,redox flow battery,Batteries,Cell & battery types,3,1,5.011,13.8,redox flow batteries,US20160301084A1-20161013
38,built-in secondary battery,Batteries,Cell & battery types,3,1,5.011,13.6,built-in secondary battery,US20160233469A1-20160811
39,modular electrochemical cell,Batteries,Cell & battery types,3,1,5.011,13.6,modular electrochemical cells,US20160211528A1-20160721
40,electricity storage device,Batteries,Cell & battery types,3,1,5.011,13.1,electricity storage device,US20160190657A1-20160630
41,zinc-air battery system,Batteries,Cell & battery types,3,1,5.011,12.9,zinc-air battery systems,US20160204491A1-20160714
42,lithium ion battery cell,Batteries,Cell & battery types,4,1,5.011,12.4,lithium ion battery cell,US20160172635A1-20160616
43,lithium-ion rechargeable cell,Batteries,Cell & battery types,3,1,5.011,12.1,lithium-ion rechargeable cell,US20160248088A1-20160825
44,electro-energy cell,Batteries,Cell & battery types,2,1,5.011,11.4,electro-energy cell,US20160211528A1-20160721
45,secondary electrochemical cell,Batteries,Cell & battery types,3,1,5.011,10.9,secondary electrochemical cells,US20100190059A1-20100729
46,multi-cell battery,Batteries,Cell & battery types,2,1,10.021,10.8,multi-cell battery,US20090169978A1-20090702
47,zinc-air battery,Batteries,Cell & battery types,2,1,10.021,10.8,zinc-air battery,US20160204491A1-20160714
48,battery pack,Batteries,"Packs, modules & interconnects",2,12,80.823,256.7,battery pack | battery packs,US20060141349A1-20060629 US20160141568A1-20160519 US20170214013A1-20170727 US20160172657A1-20160616 US20160226067A1-20160804 US20160218404A1-20160728 US20160322617A1-20161103 US20170005377A1-20170105 US20170214011A1-20170727 US20160164053A1-20160609 US20160226044A1-20160804 US20170214099A1-20170727
49,battery module,Batteries,"Packs, modules & interconnects",2,10,97.49,274.5,battery module | battery modules,US20060040173A1-20060223 US20160226067A1-20160804 US20160172654A1-20160616 US20160126546A1-20160505 US20160211560A1-20160721 US20160211561A1-20160721 US20170005377A1-20170105 US20160164053A1-20160609 US20160276637A1-20160922 US20160172635A1-20160616
50,battery assembly,Batteries,"Packs, modules & interconnects",2,4,28.995,56.5,battery assembly,US20090169978A1-20090702 US20060068274A1-20060330 US20170214013A1-20170727 US20170214011A1-20170727
51,battery system,Batteries,"Packs, modules & interconnects",2,3,15.648,23.8,battery system | battery systems,US20160204491A1-20160714 US20160226110A1-20160804 US20160172635A1-20160616
52,power storage module,Batteries,"Packs, modules & interconnects",3,2,17.27,50.2,power storage module,US20160240827A1-20160818 US20160240835A1-20160818
53,battery unit,Batteries,"Packs, modules & interconnects",2,2,17.27,16.7,battery unit,US20160141735A1-20160519 US20160226044A1-20160804
54,assembled battery,Batteries,"Packs, modules & interconnects",2,2,21.587,14.9,assembled battery,US20160141735A1-20160519 US20160211494A1-20160721
55,bus bar unit,Batteries,"Packs, modules & interconnects",3,1,25.053,73.9,bus bar unit | bus bar units,US20060035128A1-20060216
56,battery pack loading section,Batteries,"Packs, modules & interconnects",4,1,20.043,61.9,battery pack loading section,US20160141568A1-20160519
57,storage battery bank,Batteries,"Packs, modules & interconnects",3,1,20.043,51.7,storage battery bank,US20160240827A1-20160818
58,battery array,Batteries,"Packs, modules & interconnects",2,1,20.043,38.2,battery array,US20170214013A1-20170727
59,battery pack assembly,Batteries,"Packs, modules & interconnects",3,1,15.032,33.6,battery pack assembly,US20160218404A1-20160728
60,battery module assembly,Batteries,"Packs, modules & interconnects",3,1,15.032,32.8,battery module assembly,US20160172654A1-20160616
61,battery cell group,Batteries,"Packs, modules & interconnects",3,1,15.032,30.4,battery cell group,US20160211494A1-20160721
62,battery receiving element,Batteries,"Packs, modules & interconnects",3,1,10.021,25.4,battery receiving element,US20060068274A1-20060330
63,connection bar,Batteries,"Packs, modules & interconnects",2,1,15.032,24.4,connection bar,US20160240827A1-20160818
64,rechargeable battery unit,Batteries,"Packs, modules & interconnects",3,1,10.021,23.0,rechargeable battery unit,US20160226044A1-20160804
65,pressurized fastening structure,Batteries,"Packs, modules & interconnects",3,1,5.011,16.1,pressurized fastening structure,US20160111749A1-20160421
66,electric power storage system,Batteries,"Packs, modules & interconnects",4,1,5.011,15.1,electric power storage system,US20160172657A1-20160616
67,detachable battery pack,Batteries,"Packs, modules & interconnects",3,1,5.011,14.0,detachable battery pack,US20160141568A1-20160519
68,slide-in battery assembly,Batteries,"Packs, modules & interconnects",3,1,5.011,13.5,slide-in battery assembly,US20170214011A1-20170727
69,power lead assembly,Batteries,"Packs, modules & interconnects",3,1,5.011,13.3,power lead assemblies,US20060035128A1-20060216
70,series connection,Batteries,"Packs, modules & interconnects",2,1,5.011,13.1,series connection,US20060068260A1-20060330
71,multi-cell battery assembly,Batteries,"Packs, modules & interconnects",3,1,5.011,13.1,multi-cell battery assembly,US20090169978A1-20090702
72,current bus,Batteries,"Packs, modules & interconnects",2,1,5.011,11.5,current bus,US20060035128A1-20060216
73,power lead,Batteries,"Packs, modules & interconnects",2,1,10.021,11.2,power lead,US20060035128A1-20060216
74,battery connector,Batteries,"Packs, modules & interconnects",2,1,5.011,10.3,battery connector,US20060141349A1-20060629
75,electrode lead,Batteries,"Packs, modules & interconnects",2,1,5.011,10.0,electrode lead,US20160240883A1-20160818
76,battery case,Batteries,"Housings, terminals & seals",2,3,50.856,60.5,battery case,US20090169978A1-20090702 US20160149179A1-20160526 US20160226044A1-20160804
77,cap plate,Batteries,"Housings, terminals & seals",2,2,43.175,103.0,cap plate,US20160204397A1-20160714 US20160301041A1-20161013
78,positive terminal,Batteries,"Housings, terminals & seals",2,2,30.222,76.4,positive terminal,US20060127752A1-20060615 US20160240835A1-20160818
79,negative terminal,Batteries,"Housings, terminals & seals",2,2,30.222,71.8,negative terminal,US20060127752A1-20060615 US20160240835A1-20160818
80,cap assembly,Batteries,"Housings, terminals & seals",2,2,25.905,62.9,cap assembly,US20160204397A1-20160714 US20160301041A1-20161013
81,battery terminal,Batteries,"Housings, terminals & seals",2,2,17.27,25.9,battery terminal,US20090169978A1-20090702 US20160141568A1-20160519
82,housing case,Batteries,"Housings, terminals & seals",2,2,12.952,21.4,housing case,US20160211560A1-20160721 US20160211561A1-20160721
83,battery case lid,Batteries,"Housings, terminals & seals",3,1,30.064,76.8,battery case lid,US20160149179A1-20160526
84,electrode terminal,Batteries,"Housings, terminals & seals",2,1,30.064,53.8,electrode terminal,US20160204397A1-20160714
85,resin assembled battery box,Batteries,"Housings, terminals & seals",4,1,15.032,49.3,resin assembled battery box | resin assembled battery boxes,US20160211494A1-20160721
86,outer package,Batteries,"Housings, terminals & seals",2,1,20.043,49.1,outer package,US20160172657A1-20160616
87,battery chamber,Batteries,"Housings, terminals & seals",2,1,20.043,39.9,battery chamber,US20060068274A1-20060330
88,cylindrical housing,Batteries,"Housings, terminals & seals",2,1,10.021,25.8,cylindrical housing,US20160172635A1-20160616
89,battery pack enclosure,Batteries,"Housings, terminals & seals",3,1,10.021,24.4,battery pack enclosure,US20170214013A1-20170727
90,outer case,Batteries,"Housings, terminals & seals",2,1,10.021,21.3,outer case,US20160240883A1-20160818
91,battery terminal sealing member,Batteries,"Housings, terminals & seals",4,1,5.011,15.6,battery terminal sealing member,US20160141568A1-20160519
92,assembled battery box,Batteries,"Housings, terminals & seals",3,1,20.043,13.9,assembled battery boxes | assembled battery box,US20160211494A1-20160721
93,exterior body,Batteries,"Housings, terminals & seals",2,1,5.011,13.3,exterior body,US20160233469A1-20160811
94,bottomed case,Batteries,"Housings, terminals & seals",2,1,5.011,13.2,bottomed case,US20160141735A1-20160519
95,external terminal,Batteries,"Housings, terminals & seals",2,1,5.011,11.6,external terminals,US20060105244A1-20060518
96,insulating case,Batteries,"Housings, terminals & seals",2,1,5.011,11.3,insulating case,US20160301041A1-20161013
97,battery enclosure,Batteries,"Housings, terminals & seals",2,1,5.011,9.3,battery enclosure,US20160218404A1-20160728
98,internal pressure,Batteries,"Management, sensing & safety",2,2,12.952,22.9,internal pressure,US20160190657A1-20160630 US20160172657A1-20160616
99,battery management,Batteries,"Management, sensing & safety",2,2,17.27,22.3,battery management,US20160172654A1-20160616 US20160211494A1-20160721
100,temperature measuring component,Batteries,"Management, sensing & safety",3,1,45.096,91.3,temperature measuring component,US20160240835A1-20160818
101,temperature measuring component holder,Batteries,"Management, sensing & safety",4,1,20.043,68.2,temperature measuring component holder,US20160240835A1-20160818
102,safety valve mechanism,Batteries,"Management, sensing & safety",3,1,15.032,48.6,safety valve mechanism,US20160172657A1-20160616
103,current interruption device,Batteries,"Management, sensing & safety",3,1,15.032,41.4,current interruption device,US20160190657A1-20160630
104,cell monitoring device,Batteries,"Management, sensing & safety",3,1,15.032,37.1,cell monitoring device | cell monitoring devices,US20160211494A1-20160721
105,deforming plate,Batteries,"Management, sensing & safety",2,1,15.032,34.9,deforming plate,US20160190657A1-20160630
106,explosion-proof valve,Batteries,"Management, sensing & safety",2,1,10.021,26.2,explosion-proof valve,US20160149179A1-20160526
107,relief valve,Batteries,"Management, sensing & safety",2,1,10.021,25.6,relief valve,US20160226044A1-20160804
108,battery management unit,Batteries,"Management, sensing & safety",3,1,15.032,24.5,battery management unit,US20160211494A1-20160721
109,temperature measuring component guide,Batteries,"Management, sensing & safety",4,1,5.011,18.1,temperature measuring component guide,US20160240835A1-20160818
110,voltage measurement wiring,Batteries,"Management, sensing & safety",3,1,5.011,17.0,voltage measurement wirings,US20060040173A1-20060223
111,electrical-voltage measurement device,Batteries,"Management, sensing & safety",3,1,5.011,16.2,electrical-voltage measurement device,US20160218382A1-20160728
112,internal pressure rise,Batteries,"Management, sensing & safety",3,1,5.011,15.6,internal pressure rises,US20160190657A1-20160630
113,battery protection member,Batteries,"Management, sensing & safety",3,1,5.011,14.5,battery protection member,US20070231687A1-20071004
114,battery management system,Batteries,"Management, sensing & safety",3,1,5.011,11.9,battery management system,US20160172654A1-20160616
115,fuel cell,Fuel cells,Cell & system types,2,50,223.018,1395.9,fuel cell | fuel cells,US20060088739A1-20060427 US20060121327A1-20060608 US20060105214A1-20060518 US20060029850A1-20060209 US20060046124A1-20060302 US20060035128A1-20060216 US20060141306A1-20060629 US20060014067A1-20060119 US20060046123A1-20060302 US20060078764A1-20060413 US20060046125A1-20060302 US20060035119A1-20060216 US20060105209A1-20060518 US20090291340A1-20091126 US20060003203A1-20060105 US20060110634A1-20060525 US20060172171A1-20060803 US20060093875A1-20060504 US20060134483A1-20060622 US20060093877A1-20060504 US20060078768A1-20060413 US20060035133A1-20060216 US20060002844A1-20060105 US20060127706A1-20060615 US20060127709A1-20060615 US20060099464A1-20060511 US20060046108A1-20060302 US20060093735A1-20060504 US20060068260A1-20060330 US20060051632A1-20060309 US20160197367A1-20160707 US20160204444A1-20160714 US20160164111A1-20160609 US20160211535A1-20160721 US20160218378A1-20160728 US20170200955A1-20170713 US20160118671A1-20160428 US20160141692A1-20160519 US20160190602A1-20160630 US20160156047A1-20160602 US20160164128A1-20160609 US20160149249A1-20160526 US20160181639A1-20160623 US20160218382A1-20160728 US20160111749A1-20160421 US20160204461A1-20160714 US20160156053A1-20160602 US20160301084A1-20161013 US20160211528A1-20160721 US20160118674A1-20160428
116,fuel cell system,Fuel cells,Cell & system types,3,13,75.816,286.5,fuel cell system | fuel cell systems,US20060105214A1-20060518 US20060141306A1-20060629 US20060046123A1-20060302 US20090291340A1-20091126 US20060003203A1-20060105 US20060134483A1-20060622 US20060078768A1-20060413 US20060051632A1-20060309 US20160197367A1-20160707 US20160211535A1-20160721 US20160141692A1-20160519 US20160156047A1-20160602 US20160204461A1-20160714
117,solid oxide fuel cell,Fuel cells,Cell & system types,4,5,34.012,123.3,solid oxide fuel cell | solid oxide fuel cells | solid-oxide fuel cell,US20060121327A1-20060608 US20060035128A1-20060216 US20160141692A1-20160519 US20160111749A1-20160421 US20160118674A1-20160428
118,fuel cell power plant,Fuel cells,Cell & system types,4,2,21.587,66.0,fuel cell power plant,US20060093877A1-20060504 US20060099464A1-20060511
119,electrochemical fuel cell,Fuel cells,Cell & system types,3,2,12.952,19.8,electrochemical fuel cell,US20060046125A1-20060302 US20060134483A1-20060622
120,pem fuel cell,Fuel cells,Cell & system types,3,2,8.635,11.7,pem fuel cell,US20060046124A1-20060302 US20060035119A1-20060216
121,solid oxide cell,Fuel cells,Cell & system types,3,1,20.043,44.5,solid oxide cells,US20160149249A1-20160526
122,protonic ceramic fuel cell,Fuel cells,Cell & system types,4,1,15.032,43.8,protonic ceramic fuel cell,US20160204444A1-20160714
123,liquid-feed fuel cell system,Fuel cells,Cell & system types,4,1,10.021,27.8,liquid-feed fuel cell system,US20060046123A1-20060302
124,solid polymer fuel cell,Fuel cells,Cell & system types,4,1,10.021,25.8,solid polymer fuel cells | solid polymer fuel cell,US20160190602A1-20160630
125,dissolved-fuel alkaline fuel cell,Fuel cells,Cell & system types,4,1,5.011,15.3,dissolved-fuel alkaline fuel cell,US20060078764A1-20060413
126,hydrogen fueled fuel cell,Fuel cells,Cell & system types,4,1,5.011,15.0,hydrogen fueled fuel cell,US20060088739A1-20060427
127,hydrogen peroxide fuel cell,Fuel cells,Cell & system types,4,1,5.011,14.6,hydrogen peroxide fuel cells,US20160118671A1-20160428
128,compliant fuel cell system,Fuel cells,Cell & system types,4,1,5.011,13.7,compliant fuel cell system,US20090291340A1-20091126
129,electrochemical fuel cell system,Fuel cells,Cell & system types,4,1,5.011,11.9,electrochemical fuel cell system,US20060134483A1-20060622
130,methanol fuel cell,Fuel cells,Cell & system types,3,1,5.011,11.2,methanol fuel cell,US20060046123A1-20060302
131,alkaline fuel cell,Fuel cells,Cell & system types,3,1,10.021,10.8,alkaline fuel cell,US20060078764A1-20060413
132,membrane fuel cell,Fuel cells,Cell & system types,3,1,5.011,10.0,membrane fuel cell,US20160218382A1-20160728
133,fuel cell stack,Fuel cells,"Stack, MEA & flow-field components",3,13,100.273,374.3,fuel cell stack | fuel cell stacks,US20060121327A1-20060608 US20060046124A1-20060302 US20060141306A1-20060629 US20060105209A1-20060518 US20060093875A1-20060504 US20060078768A1-20060413 US20060127706A1-20060615 US20060127709A1-20060615 US20060099464A1-20060511 US20160164111A1-20160609 US20160141692A1-20160519 US20160164128A1-20160609 US20160204461A1-20160714
134,membrane electrode assembly,Fuel cells,"Stack, MEA & flow-field components",3,5,37.413,122.8,membrane electrode assembly | membrane electrode assemblies,US20060105214A1-20060518 US20060134469A1-20060622 US20160218378A1-20160728 US20160156053A1-20160602 US20160301084A1-20161013
135,fuel cell assembly,Fuel cells,"Stack, MEA & flow-field components",3,4,25.37,59.1,fuel cell assembly,US20060121327A1-20060608 US20060029850A1-20060209 US20090291340A1-20091126 US20160164111A1-20160609
136,unit cell,Fuel cells,"Stack, MEA & flow-field components",2,3,23.472,50.2,unit cells,US20060040173A1-20060223 US20160172654A1-20160616 US20160164053A1-20160609
137,gas channel,Fuel cells,"Stack, MEA & flow-field components",2,3,11.736,31.0,gas channel | gas channels,US20090169978A1-20090702 US20160156053A1-20160602 US20160211528A1-20160721
138,flow field,Fuel cells,"Stack, MEA & flow-field components",2,2,38.857,85.2,flow field | flow fields,US20060141328A1-20060629 US20060035133A1-20060216
139,gas diffusion electrode,Fuel cells,"Stack, MEA & flow-field components",3,2,25.905,68.9,gas diffusion electrode | gas diffusion electrodes,US20160164120A1-20160609 US20160211528A1-20160721
140,diffusion media,Fuel cells,"Stack, MEA & flow-field components",2,2,30.222,64.3,diffusion media,US20060046124A1-20060302 US20060127706A1-20060615
141,diffusion layer,Fuel cells,"Stack, MEA & flow-field components",2,2,43.175,57.7,diffusion layer | diffusion layers,US20060134469A1-20060622 US20160156053A1-20160602
142,separator plate,Fuel cells,"Stack, MEA & flow-field components",2,2,21.587,39.1,separator plates | separator plate,US20060046125A1-20060302 US20160164111A1-20160609
143,bipolar plate,Fuel cells,"Stack, MEA & flow-field components",2,2,17.27,34.2,bipolar plates,US20060127706A1-20060615 US20160218378A1-20160728
144,flow channel,Fuel cells,"Stack, MEA & flow-field components",2,2,21.587,32.4,flow channels,US20060127706A1-20060615 US20160164111A1-20160609
145,active area,Fuel cells,"Stack, MEA & flow-field components",2,2,12.952,31.7,active area,US20160164111A1-20160609 US20170207470A1-20170720
146,catalyst layer,Fuel cells,"Stack, MEA & flow-field components",2,2,21.587,28.3,catalyst layers | catalyst layer,US20060046113A1-20060302 US20170200955A1-20170713
147,stamped plate,Fuel cells,"Stack, MEA & flow-field components",2,2,8.635,11.4,stamped plates,US20060035133A1-20060216 US20060127706A1-20060615
148,stack array,Fuel cells,"Stack, MEA & flow-field components",2,1,25.053,53.7,stack array,US20160111749A1-20160421
149,gas permeable layer,Fuel cells,"Stack, MEA & flow-field components",3,1,20.043,50.9,gas permeable layers,US20160211528A1-20160721
150,end plate,Fuel cells,"Stack, MEA & flow-field components",2,1,25.053,50.8,end plate,US20160240827A1-20160818
151,diffusion layer structure,Fuel cells,"Stack, MEA & flow-field components",3,1,30.064,48.7,diffusion layer structure | diffusion layer structures,US20060134469A1-20060622
152,gas diffusion layer,Fuel cells,"Stack, MEA & flow-field components",3,1,20.043,47.5,gas diffusion layers,US20160156053A1-20160602
153,fuel cell bundle,Fuel cells,"Stack, MEA & flow-field components",3,1,25.053,45.7,fuel cell bundles,US20060035128A1-20060216
154,structured flow field pattern,Fuel cells,"Stack, MEA & flow-field components",4,1,10.021,38.2,structured flow field pattern,US20060141328A1-20060629
155,fuel cell stack anode,Fuel cells,"Stack, MEA & flow-field components",4,1,15.032,35.9,fuel cell stack anode,US20160141692A1-20160519
156,fuel cell stack device,Fuel cells,"Stack, MEA & flow-field components",4,1,15.032,35.5,fuel cell stack device,US20160164128A1-20160609
157,fuel cell stack cathode,Fuel cells,"Stack, MEA & flow-field components",4,1,15.032,35.3,fuel cell stack cathode,US20160141692A1-20160519
158,cell stack device,Fuel cells,"Stack, MEA & flow-field components",3,1,30.064,31.7,cell stack device,US20160164128A1-20160609
159,stack group,Fuel cells,"Stack, MEA & flow-field components",2,1,15.032,29.5,stack group | stack groups,US20160111749A1-20160421
160,water transport plate,Fuel cells,"Stack, MEA & flow-field components",3,1,10.021,29.1,water transport plate,US20170207470A1-20170720
161,oxidant electrode,Fuel cells,"Stack, MEA & flow-field components",2,1,15.032,29.1,oxidant electrodes | oxidant electrode,US20160218380A1-20160728
162,oxidant flow channel,Fuel cells,"Stack, MEA & flow-field components",3,1,10.021,28.2,oxidant flow channels,US20160164111A1-20160609
163,diffusion media layer,Fuel cells,"Stack, MEA & flow-field components",3,1,10.021,26.7,diffusion media layers | diffusion media layer,US20060127706A1-20060615
164,fuel cell catalyst layer,Fuel cells,"Stack, MEA & flow-field components",4,1,10.021,24.1,fuel cell catalyst layers | fuel cell catalyst layer,US20170200955A1-20170713
165,fuel cell plate,Fuel cells,"Stack, MEA & flow-field components",3,1,10.021,19.4,fuel cell plate | fuel cell plates,US20060035133A1-20060216
166,flexible flow field separator,Fuel cells,"Stack, MEA & flow-field components",4,1,5.011,17.0,flexible flow field separator,US20060141328A1-20060629
167,conducting flow field separator,Fuel cells,"Stack, MEA & flow-field components",4,1,5.011,16.7,conducting flow field separator,US20060141328A1-20060629
168,stamped bridge member,Fuel cells,"Stack, MEA & flow-field components",3,1,5.011,16.3,stamped bridge member,US20060035133A1-20060216
169,pre-compressed diffusion media,Fuel cells,"Stack, MEA & flow-field components",3,1,5.011,16.1,pre-compressed diffusion media,US20060046124A1-20060302
170,nested bipolar plate,Fuel cells,"Stack, MEA & flow-field components",3,1,5.011,15.6,nested bipolar plates,US20060127706A1-20060615
171,nested stamped plate,Fuel cells,"Stack, MEA & flow-field components",3,1,5.011,15.6,nested stamped plates,US20060127706A1-20060615
172,solid-oxide fuel cell assembly,Fuel cells,"Stack, MEA & flow-field components",4,1,5.011,14.4,solid-oxide fuel cell assembly,US20060121327A1-20060608
173,flow field separator,Fuel cells,"Stack, MEA & flow-field components",3,1,10.021,13.9,flow field separator,US20060141328A1-20060629
174,fuel cell single cell,Fuel cells,"Stack, MEA & flow-field components",4,1,5.011,12.5,fuel cell single cell,US20160156053A1-20160602
175,conductive separator plate,Fuel cells,"Stack, MEA & flow-field components",3,1,5.011,12.5,conductive separator plate,US20060046125A1-20060302
176,nested plate,Fuel cells,"Stack, MEA & flow-field components",2,1,5.011,11.6,nested plates,US20060127706A1-20060615
177,distribution plate,Fuel cells,"Stack, MEA & flow-field components",2,1,5.011,11.1,distribution plate,US20160218382A1-20160728
178,electrocatalyst layer,Fuel cells,"Stack, MEA & flow-field components",2,1,5.011,11.1,electrocatalyst layer,US20160118671A1-20160428
179,single cell,Fuel cells,"Stack, MEA & flow-field components",2,1,10.021,10.1,single cell,US20160156053A1-20160602
180,fuel cell cathode,Fuel cells,"Stack, MEA & flow-field components",3,1,5.011,9.7,fuel cell cathodes,US20160118671A1-20160428
181,fuel anode,Fuel cells,"Stack, MEA & flow-field components",2,1,5.011,8.4,fuel anode,US20060078764A1-20060413
182,fuel electrode,Fuel cells,"Stack, MEA & flow-field components",2,1,5.011,7.3,fuel electrode,US20160218380A1-20160728
183,catalyst particle,Fuel cells,Catalysts,2,2,21.587,50.2,catalyst particles,US20170200955A1-20170713 US20160190602A1-20160630
184,catalyst precursor,Fuel cells,Catalysts,2,1,15.032,34.6,catalyst precursor,US20170200955A1-20170713
185,catalyst assembly,Fuel cells,Catalysts,2,1,15.032,29.9,catalyst assembly,US20060035119A1-20060216
186,catalyst-coated channel,Fuel cells,Catalysts,2,1,10.021,26.6,catalyst-coated channels,US20060046113A1-20060302
